RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Chilli & Cheese Tortilla Cup Canapes - undeclared gluten in product.,Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15054/cook-trading-limited-canapes-recalled,2016-04-06
2,Choc chip cookies tins - undeclared milk in product.,Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15061/jacobsens-bakery-recalls-disney-chocolate-chip-cookies,2016-04-08
3,"Mix of Pretzels, Sticks and Salted Biscuits - undeclared milk in product.",Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15069/jackpot-mix-mix-of-pretzels-sticks-and-salted-biscuits-recalled,2016-04-15
4,"Two types of mixed vegetables products - undeclared milk, gluten, soya and celery not listed on the label in English.",Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15073/lidl-recalls-green-grocers-brand-of-mixed-vegetables-due-to-undeclared-allergens,2016-04-16
5,Bruschetta ai Pomodiri Secchi - undeclared sulphites in product.,Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15081/spar-recalls-its-bruschetta-ai-pomodiri-secchi,2016-04-19
6,Almonds and Flaked Almonds - undeclared brazil nuts in product.,Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15098/by-sainsburys-almonds-and-flaked-almonds-recalled,2016-04-22
7,Two brands of various products - due to incorrect allergen labelling.,Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15085/sara-int-recalls-products-incorrect-labelling,2016-04-22
8,Chocolate Coated Honeycomb 100g -undeclared milk and soya in product,Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15101/ginco-recalls-chocolate-coated-honeycomb,2016-04-25
9,"Assorted ?Herring Fillets? products (200g) -undeclared fish, milk, egg, mustard and wheat (gluten) in product.",Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15107/lidl-recalls-nixe-brand-herring-fillets-assorted-200g-due-to-undeclared-allergens,2016-04-29
10,"Celery, Nut and Sultana Salad - undeclared milk in product.",Recalled ,Possible adverse effects to allergy sufferers. ,https://www.food.gov.uk/news-updates/news/2016/15108/asda-celery-nut-and-sultana-salad-withdrawn-because-it-contains-milk,2016-04-29
