RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Chicken and Bacon Layered Salad - due to undeclared milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16596/aldi-recalls-chicken-bacon-layered-salad-undeclared-milk,2017-10-05
2,Sliced Chorizo - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16599/costcutter-recalls-independent-sliced-chorizo-because-of-incorrect-allergen-labelling,2017-10-06
3,Various  Protein Granola Trail Mixes - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16601/tk-maxx-homesense-recalls-protein-granola-mixes,2017-10-06
4,Wasabi Peas - due to undeclared Wheat (gluten).,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16600/gourmet-on-the-go-wasabi-peas-gluten,2017-10-06
5,Hot Pepper Pickle - due to undeclared mustard.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16624/mr-naga-hot-pepper-pickle-recalled,2017-10-15
6,Various Energy drinks - due to undeclared soya and milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16626/high5-recalls-energy-source-summer-fruits,2017-10-16
7,Chocolate patisserie rolls - due to undeclared soya.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16644/les-brioche-recalls-its-les-brioche-pain-au-lait-brioche-rolls-8-pack-because-of-undeclared-soya,2017-10-16
8, Fruit & Nut snacks - due to undeclared Brazil nuts,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16645/r-m-curtis-co-ltd-recalls-snacking-essentials-fruit-nut-because-of-undeclared-brazil-nuts,2017-10-22
9,Horseradish Sauce - due to undeclared sulphites.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16669/rh-amar-recalls-mary-berry-s-horseradish-sauce-160g-because-of-undeclared-sulphites,2017-11-02
10,Four varieties of Drinking Chocolate Sticks - due to as allergenic ingredients not declared in English.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16676/lidl-recalls-four-varieties-of-deluxe-drinking-chocolate-sticks-as-allergenic-ingredients-are-not-declared-in-english,2017-11-03
11,Fried Rice with Spiced Poppadum Potato & Peanuts - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16677/everest-cash-carry-recalls-fried-beaten-rice,2017-11-03
12, Protein Powder Food Supplement - due to undeclared soya and milk.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16681/isolab-recall-pro-pharma-protein-powder-undeclared-soya-milk,2017-11-06
13,Barbecue Flavour Coated Peanuts - due to undeclared cashew nuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/16686/aldi-recalls-its-clancy-s-barbecue-flavour-coated-peanuts-because-of-undeclared-cashew-nuts,2017-11-10
