RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Egg Mayonnaise Sandwich - due to undeclared egg and mustard.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15852/booths-recalls-free-range-egg-mayonnaise-sandwich,2017-01-03
2,Corn Chips - due to undeclared soya and wheat (gluten).,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15862/pepsico-recalls-doritos-lightly-salted-corn-chips,2017-01-05
3,Bakery cakes - due to undeclared egg (Northern Ireland),Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/northern-ireland/news-updates/news/2017/15866/heatherlea-bakery-recalls-cakes-undeclared-egg,2017-01-09
4,Assorted Cupcakes because of undeclared allergen.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15876/morrisons-recalls-market-street-assorted-cupcakes,2017-01-12
5,Butter Chicken - due to undeclared nuts.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15880/tesco-recalls-two-batch-codes-of-tesco-takeaway-butter-chicken,2017-01-16
6,Cacao Nibs Cashew Butter -due to misleading allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15881/windmill-organics-recalls-pro-fusion-organic-cacao-nibs-cashew-butter,2017-01-17
7,10 Pack Biscuits - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15894/b-m-recalls-mini-cream-10-pack-biscuits,2017-01-20
8,Spiced Chicken Soup - due to undeclared allergen.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15930/new-covent-garden-soup-co-recalls-skinny-goan-spiced-chicken-soup,2017-01-27
9,Southern Fried Chicken Wrap - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15931/co-op-recalls-southern-fried-chicken-wrap,2017-01-27
10,Southern Fried Chicken Wrap - due to incorrect allergen labelling.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2017/15932/co-op-extends-recall-of-southern-fried-chicken-wrap,2017-01-27
