RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,"Protein shakes, Protein Bars and Whey Tubs - undeclared soya and/or egg in product.",Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15278/premia-health-extends-recall-of-protein-active-diet-whey-shake,2016-07-01
2,Ice Lollies - undeclared milk in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15287/frozen-value-ltd-recalls-gut-gunstig-rocket-ice-lollies,2016-07-05
3,Vegetable microwaveable rice - undeclared egg in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15299/fei-foods-recalls-tiori-branded-golden-vegetable-micro-rice,2016-07-08
4,Protein Shot and Protein Active Energy Shot - undeclared egg in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15300/premia-health-recall-update2,2016-07-08
5,Cheese Sandwich - undeclared egg and mustard in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15301/booths-sandwich-egg-mustard,2016-07-10
6,Mini Rocky Road Bites - undeclared egg in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15323/asda-recalls-baker-selection-rocky-road,2016-07-19
7,Teriyaki Crackers - undeclared of prawns in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15328/marks-spencer-recalls-its-teriyaki-crackers-due-to-the-undeclared-presence-of-prawns,2016-07-20
8,Various types of Pickled Fruits and Walnuts for Cheese- undeclared mustard in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15329/fine-cheese-co-recalls-pickled-fruits-and-walnuts-for-cheese,2016-07-20
9,Whey and Protein shakes - undeclared soya and gluten in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/northern-ireland/news-updates/news/2016/15334/premia-health-updating-recall,2016-07-21
10,Syrup Sponge Puddings - undeclared milk in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15338/asda-recalls-syrup-sponge-puddings,2016-07-22
11,Salted Rice Cakes - undeclared sesame in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15339/lidl-recalls-sonday-salted-rice-cakes,2016-07-22
12,Various chocolate bars - undeclared hazelnut and/or almond in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15364/ikea-is-extending-recall-choc-products,2016-07-28
13,Fruit Yoghurt - undeclared milk in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15371/lidl-recalls-milbona-fruit-yoghurt-due-to-undeclared-milk,2016-07-29
14,Peanuts - undeclared in English as peanuts on the label.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15372/lidl-recalls-alesto-honey-peanuts,2016-07-29
15,Cheese and Tomato Pasta - undeclared mustard in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15376/co-op-simply-cheese-and-tomato-pasta,2016-07-31
16,"Peanuts and Raisins - undeclared presence of almonds, Brazil nuts and pistachio nuts in products.",Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15378/waitrose-recalls-its-lovelife-peanut-and-raisins,2016-08-01
17,Roasted Millet Snack Bar - undeclared peanut in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15392/interlink-recalls-its-pop-millet-roasted-millet-snack-bar,2016-08-05
18,Egg Salad Sandwich - undeclared milk in product.,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15458/asda-recalls-egg-salad-sandwich-due-to-undeclared-milk,2016-08-27
19,Peanuts ? undeclared in English as peanuts on the label,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-updates/news/2016/15466/lidl-ireland-withdraws-alesto-roasted-and-salted-peanuts,2016-08-31
