DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
Focused Nutrition recalls Choc Chip Flapjack because of incorrect allergen labelling,Recalled,"This product contains oats (gluten) and soya and may contain milk, nuts, peanuts and sulphites. This means the product is a possible health risk for anyone with an allergy to nuts, peanuts or soya, and/or an allergy or intolerance to milk or milk constituents, and/or an allergy or intolerance to oats or gluten and/or a sensitivity to sulphur dioxide and/or sulphites.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-81-2019,2019-10-05
Cesare Fiorucci SpA recalls two salami products because of undeclared milk,Recalled,Milk. The products contain milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-82-2019,2019-10-11
LIDL GB recalls Alpenfest Pretzel Ice Cream because allergens are not declared in English,Recalled,"This product contains egg, hazelnut, milk, soya, wheat and may also contain other nuts, peanuts and sesame. This means the product is a possible health risk for anyone with an allergy or intolerance to egg, milk or milk constituents, wheat or gluten, or an allergy to soya, sesame, hazelnuts, peanuts or other nuts.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-83-2019,2019-10-11
Lidl Northern Ireland recalls three products as the allergens are not written in English,Recalled,"These products contain or may contain barley and other cereals containing gluten, egg, milk, nuts (almonds, hazelnuts and others), peanuts, sesame and soya.. This makes the products unsafe for anyone with an allergy to nuts (almonds, hazelnuts and others), peanuts, sesame and soya and/or an allergy or intolerance to barley and other cereals containing gluten, egg, and milk or its constituents.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-84-2019,2019-10-15
Tesco recalls Takeaway Hot Indian Meal For 2 because of undeclared cashew nuts,Recalled,Nuts (cashew nuts). This product contains cashew nuts which are not declared on the outer packaging making it a possible health risk for anyone with an allergy to nuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-85-2019,2019-10-18
LIDL GB recalls J.D. GROSS Mozart Kugeln because allergen labelling is not in English,Recalled,"Milk, nuts, peanuts, soya, egg, cereals (gluten). This product contains milk, almonds, hazelnuts and pistachios, and may also contain other nuts, peanuts, soya, egg and cereals containing gluten, making it a possible health risk for anyone with an allergy or intolerance egg, gluten, milk or milk constituents and/or an allergy to nuts, peanuts and soya.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-86-2019,2019-10-23
Co-op recalls Bakery Short Crust Mince Pie 4s because of undeclared barley (gluten),Recalled,Barley (gluten).. This product contains barley (gluten) making it a possible health risk with an allergy or intolerance to barley (gluten).,https://www.food.gov.uk/news-alerts/alert/fsa-aa-87-2019,2019-10-24
TJX Europe (TK Maxx and Homesense) are recalling LITALY Wafer Roll products because of undeclared egg,Recalled,Egg. These products contain egg making them a possible health risk for anyone with an allergy or intolerance to egg.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-88-2019,2019-10-25
McCormick France recalls products from its STUBB?S range because of undeclared mustard,Recalled,Mustard. These products contain mustard making it a possible health risk for anyone with an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-89-2019,2019-10-25
Lidl GB recalls Baresa Green Pesto Alla Genovese because of undeclared peanuts,Recalled,Peanuts. This product contains peanuts making it a possible health risk for anyone with an allergy to peanuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-90-2019,2019-10-25
Spartan Protein recalls various products because of incorrect allergen labelling,Recalled,"These products contain milk, oats (gluten), peanuts and soya. This means the products are a possible health risk for anyone with an allergy or intolerance to milk or milk constituents, oats or gluten or an allergy to peanuts or soya.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-91-2019,2019-10-25
Costa Coffee recalls Millionaire Mallow Bites because of undeclared allergens,Recalled,"Egg, wheat or gluten.. This product contains egg and wheat making it a possible health risk for anyone with an allergy or intolerance to egg, wheat or gluten.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-92-2019,2019-10-29
Harvey Nichols recalls Dark Chocolate Gingers because of undeclared pistachio,Recalled,Nuts (Pistachio). This product contains pistachio (nuts). This means that the product is a possible health risk for anyone with an allergy to nuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-93-2019,2019-11-06
La Boulangere recalls Brioche Hot-Dog Buns due to undeclared allergens,Recalled,Milk and Wheat (gluten). This product contains milk and wheat (gluten) making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents or an allergy or intolerance to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-94-2019,2019-11-08
Mondelez UK recalls Cadbury Dairy Milk Little Robins because of undeclared almonds,Recalled,Nuts (almonds). This product contains almonds (nuts) making it a possible health risk for anyone with an allergy to nuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-95-2019,2019-11-12
Welsh Cottage Cakes recalls its Spelt & Fruit Cake due to undeclared wheat,Recalled,Wheat (gluten). This product contains wheat making it a possible health risk for anyone with an allergy or intolerance to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-96-2019,2019-11-15
Waitrose recalls Carrot & Coriander Soup because of undeclared allergens,Recalled,Barley (gluten) and celery. This product contains barley (gluten) and celery making it a possible health risk for anyone with an allergy or intolerance to barley (gluten) and/or an allergy to celery.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-97-2019,2019-11-20
Sainsbury?s recalls Tomato & Basil Soup due to undeclared wheat,Recalled,Wheat (gluten). Some products may contain wheat (gluten) making it a possible health risk for anyone with an allergy or intolerance to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-98-2019,2019-11-23
Aldi recalls British Breaded Chicken Steaks due to undeclared milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-99-2019,2019-11-23
Sainsbury?s recalls Hot Buffalo Dip due to undeclared egg,Recalled,Egg. This product contains egg making it a possible health risk for anyone with an allergy or intolerance to egg.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-100-2019,2019-11-25
TJ Morris recalls Oxfordshire Tea Co. Butter Shortbread due to inaccurate allergen labelling,Recalled,Wheat (gluten). This product contains wheat (gluten) making it a possible health risk for anyone with an allergy or intolerance to wheat or gluten.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-101-2019,2019-11-27
Asda recalls Meatball Marinara meal due to undeclared milk,Recalled,Milk. This product contains milk making it a possible health risk for anyone with an allergy or intolerance to milk or milk constituents.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-102-2019,2019-12-03
Unilever recalls Pot Noodle Beef & Tomato because of undeclared celery and mustard,Recalled,Celery and mustard. This product contains celery and mustard making it a possible health risk for anyone with an allergy to celery and/or mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-103-2019,2019-12-06
Oumph! recalls ?The Chunk? because it contains undeclared mustard,Recalled,Mustard. This product contains mustard making it a possible health risk for anyone with an allergy to mustard.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-104-2019,2019-12-06
Hipp UK recalls Hipp Organic Combiotic First Infant Milk Starter Pack because of undeclared fish oil,Recalled,Fish. This product contains fish oil making it a possible health risk for anyone with an allergy to fish.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-105-2019,2019-12-11
Sainsbury?s recalls 18 Mini Egg Bites because of undeclared allergens,Recalled,"Egg and mustard. This product contains egg and mustard making it a possible health risk for anyone with an allergy or intolerance egg, and/or an allergy to mustard.",https://www.food.gov.uk/news-alerts/alert/fsa-aa-106-2019,2019-12-12
John Lewis recalls Lazzaroni Italian Collection Christmas Gift Bag because of missing product label,Recalled,"Egg, milk, wheat (gluten), almonds, nuts and soya.. This product contains allergens making it a possible health risk for anyone with an allergy or intolerance to egg, milk or milk constituents, wheat or gluten and/or an allergy to almonds, nuts and/or soya",https://www.food.gov.uk/news-alerts/alert/fsa-aa-107-2019,2019-12-13
Sainsbury?s recalls Vegan Deli-Style Coleslaw and Vegan Potato Salad because they may contain egg,Recalled,Egg. These products may contain egg making them a possible health risk for anyone with an allergy or intolerance to egg.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-108-2019,2019-12-13
Sacla? recalls various pesto products because of undeclared peanuts,Recalled,Peanuts. These products may contain peanuts making them a possible health risk for anyone with an allergy to peanuts.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-109-2019,2019-12-20
