RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Interlink Direct Ltd recalls its CG Classic Coconut Candy because of undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-28-2018,2018-04-04
2,Maxela Ltd recalls Rolnik Beer Mustard because it contains undeclared sulphur dioxide,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-29-2018,2018-04-05
3,Nevis Bakery recalls Empire Biscuits because of undeclared egg,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-30-2018,2018-04-05
4,Sara International Ltd recalls Sara Tahina because of undeclared sesame,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-31-2018,2018-04-10
5,Halo Top recalls Mint Chip Ice Cream and Chocolate Chip Cookie Dough Ice Cream because of undeclared soya,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-32-2018,2018-04-11
6,Innovative Bites and American Fizz recall Peanut Butter Cookie Dough Bites due to undeclared and incorrect labelling of allergens,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-33-2018,2018-04-13
7,Rude Health Foods Ltd recalls a batch of Rude Health Cacao & Vanilla Granola due to allergen ingredient not declared in English,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-34-2018,2018-04-19
8,Windmill Organics Ltd recalls Biona Organic Spelt Lasagne Sheets because of undeclared wheat,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-36-2018,2018-04-25
9,Unisnacks recalls Lotte Choco Pie due to undeclared almonds,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-35-2018,2018-04-24
10,Tesco recalls Hearty Food Company Cottage Pie and Hearty Food Company Sausage and Mash due to undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-37-2018,2018-04-26
11,Runwick Roastery Ltd recalls Cupsmith Truly Magnificent White Hot Chocolate due to undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-38-2018,2018-04-27
12,BOL Foods recalls BOL Caribbean Jerk Curry because of milk and barley,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-39-2018,2018-05-01
13,Mary Berry???s Salad Dressing recalled due to undeclared egg,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-40-2018,2018-05-09
14,Remeo Gelato recalls Stracciatella Di Bergamo Gelato because of undeclared nuts,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-41-2018,2018-05-09
15,Yorkshire Game 17 recalls Wild Venison Burgers because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-42-2018,2018-05-11
16,Lidl Ireland recalls Filled Potato Croquettes as milk is not declared in English,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-43-2018,2018-05-16
17,Naturya recalls Organic Chlorella Powder due to undeclared sulphites,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-44-2018,2018-05-17
18,Supernutrients recalls Organic Chlorella Powder due to undeclared sulphites,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-45-2018,2018-05-17
19,Lidl Ireland recalls Duc de Coeur Macarons as allergens are not declared in English,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-46-2018,2018-06-07
20,Moon Sweets Couture UK Ltd recalls Fizz Wizz Fruit Chews due to undeclared sulphites,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-47-2018,2018-06-14
21,Sainsbury???s recalls its Fruit and Honey Seed Mix due to undeclared nuts,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-48-2018,2018-06-18
22,Mondelez International recalls Ritz Chipster due to undeclared wheat,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-49-2018,2018-06-18
23,Marks & Spencer recalls M&S Louisiana BBQ Chicken Flatties because of undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-50-2018,2018-06-26
24,Mullaghmore Bakery recalls various scone products because they contain egg which is not declared on the labels,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/fsa-aa-51-2018,2018-06-29
