RowNumber,DescriptionOfIncident,ActionTaken,RiskToConsumers,LinkToNotice,IssuedDate
1,Tesco recalls its Tesco?s finest chocolate cake because of undeclared nuts (walnuts),Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-01-2018,2018-01-09
2,New World Imports (UK) Ltd recalls Kam Yuen Crab Roe Flavour Sunflower Seeds because of undeclared peanut,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-02-2018,2018-01-17
3,Morrisons recalls Eat Smart COUNTED Honey & Mustard Dressing because of undeclared egg and mustard,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-03-2018,2018-01-22
4,Marks & Spencer recalls 2 Gluten Free Scotch Eggs because of undeclared gluten,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-04-2018,2018-01-25
5,Wikinger UK recalls Wikinger Hot Dogs because of incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-05-2018,2018-01-26
6,Community Foods is recalling ?Natural Days Ground Rice Flour? because of undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-06-2018,2018-01-26
7,Boots recalls ?Delicious Pineapple and Berry Compote? because of undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-07-2018,2018-01-27
8,Optima Consumer Health Care recalls Glucosamine Tablets and Omega Choice 3-6-9 capsules due to incorrect allergen labelling,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-08-2018,2018-01-29
9,Possible Presence of Gluten in Gluten Free Amaizin Organic Corn products,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-09-2018,2018-02-02
10,Avondale Foods Ltd recalls Country Kitchen Coleslaw & Potato Salad Twin-Pack because of undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-10-2018,2018-02-05
11,Morrisons is recalling its Italian Penne Bolognese Bake 400g because of undeclared celery,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-11-2018,2018-02-15
12,Laila Foods is recalling Laila Mint Sauce because of undeclared egg,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-12-2018,2018-02-16
13,CO YO recalls dairy free coconut milk yogurt products because of undeclared milk,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-13-2018,2018-02-20
14,Excessive levels of gluten in gluten free Trafo tortilla chips,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-14-2018,2018-02-21
15,Lidl recalls Favorina Dip Eggs as allergenic ingredients are not declared in English,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-15-2018,2018-02-23
16,DSAM Consulting S.A. is recalling its Hellenic Grocery Handmade Loukoumi 200g because of undeclared pistachio,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-16-2018,2018-02-26
17,Lidl Ireland recalls Grafschafter Garlic Baguettes and Herb Baguettes as allergenic ingredients are not declared in English,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-17-2018,2018-03-07
18,The Spice Tailor Limited recalls The Spice Tailor Fiery Goan Curry because of undeclared mustard,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-18-2018,2018-03-09
19,Ultralife recalls various Detox Drinks and Food Supplements due to undeclared allergens,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-19-2018,2018-03-15
20,C&K Meats recalls sausage products because of undeclared sulphur dioxide,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-20-2018,2018-03-16
21,Confectionery World recalls Turkish Delight ? Rose and Lemon Flavours because of undeclared nuts,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-21-2018,2018-03-21
22,Mr. Dips recalls Mr. Dips Taramasalata because of undeclared soya,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-22-2018,2018-03-22
23,SA Wholesale recalls Robertsons Rajah Curry Powder because of celery and mustard,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-23-2018,2018-03-23
24,Co-op recalls Breaded Cod Fillets due to undeclared allergens,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-24-2018,2018-03-26
25,Interlink Direct Ltd is recalling CEBU Dried Mangoes because of undeclared sulphur dioxide and/or sulphites,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-25-2018,2018-03-27
26,Lidl Ireland recalls Deluxe Wild Salmon as allergenic ingredients are not declared in English,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-26-2018,2018-03-28
27,Aunt Bessie?s recalls Aunt Bessie?s Croquettes because of undeclared egg,Recalled,Possible adverse effects to allergy sufferers.,https://www.food.gov.uk/news-alerts/alert/FSA-AA-27-2018,2018-03-29
